3	22	23	35	42	58	60	86
3	22	23	35	42	58	60	89
3	22	23	35	42	58	60	90
3	22	23	35	42	58	86	89
3	22	23	35	42	58	86	90
3	22	23	35	42	58	89	90
3	22	23	35	42	60	86	89
3	22	23	35	42	60	86	90
3	22	23	35	42	60	89	90
3	22	23	35	42	86	89	90
3	22	23	35	58	60	86	89
3	22	23	35	58	60	86	90
3	22	23	35	58	60	89	90
3	22	23	35	58	86	89	90
3	22	23	35	60	86	89	90
3	22	23	42	58	60	86	89
3	22	23	42	58	60	86	90
3	22	23	42	58	60	89	90
3	22	23	42	58	86	89	90
3	22	23	42	60	86	89	90
3	22	23	58	60	86	89	90
3	22	35	42	58	60	86	89
3	22	35	42	58	60	86	90
3	22	35	42	58	60	89	90
3	22	35	42	58	86	89	90
3	22	35	42	60	86	89	90
3	22	35	58	60	86	89	90
3	22	42	58	60	86	89	90
3	23	35	42	58	60	86	89
3	23	35	42	58	60	86	90
3	23	35	42	58	60	89	90
3	23	35	42	58	86	89	90
3	23	35	42	60	86	89	90
3	23	35	58	60	86	89	90
3	23	42	58	60	86	89	90
3	35	42	58	60	86	89	90
22	23	35	42	58	60	86	89
22	23	35	42	58	60	86	90
22	23	35	42	58	60	89	90
22	23	35	42	58	86	89	90
22	23	35	42	60	86	89	90
22	23	35	58	60	86	89	90
22	23	42	58	60	86	89	90
22	35	42	58	60	86	89	90
23	35	42	58	60	86	89	90
